Job ID : 16765
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : sam. 21 mars 2026 00:42:11 CET

=== Study 1: RBM hidden units ===
  q=50 ...   Saved outputs/alpha_study/rbm_hidden_q50.png
  q=100 ...   Saved outputs/alpha_study/rbm_hidden_q100.png
  q=200 ...   Saved outputs/alpha_study/rbm_hidden_q200.png
  q=500 ...   Saved outputs/alpha_study/rbm_hidden_q500.png
  Summary saved.

=== Study 2: RBM epochs ===
  epochs=50 ...   Saved outputs/alpha_study/rbm_epochs_50.png
  epochs=100 ...   Saved outputs/alpha_study/rbm_epochs_100.png
  epochs=200 ...   Saved outputs/alpha_study/rbm_epochs_200.png
  epochs=500 ...   Saved outputs/alpha_study/rbm_epochs_500.png
  Summary saved.

=== Study 3: RBM number of classes ===
  1 class (A) ...   Saved outputs/alpha_study/rbm_classes_1.png
  3 classes (A,B,C) ...   Saved outputs/alpha_study/rbm_classes_3.png
  6 classes (A–F) ...   Saved outputs/alpha_study/rbm_classes_6.png
  10 classes (A–J) ...   Saved outputs/alpha_study/rbm_classes_10.png
  Summary saved.

=== Study 4: DBN depth ===
  1 RBM layer ... 
--- Training RBM layer 1/1 ---
Epoch 72/100 - MSE: 0.0173
Epoch 73/100 - MSE: 0.0171
Epoch 74/100 - MSE: 0.0167
Epoch 75/100 - MSE: 0.0164
Epoch 76/100 - MSE: 0.0162
Epoch 77/100 - MSE: 0.0158
Epoch 78/100 - MSE: 0.0157
Epoch 79/100 - MSE: 0.0152
Epoch 80/100 - MSE: 0.0152
Epoch 81/100 - MSE: 0.0149
Epoch 82/100 - MSE: 0.0145
Epoch 83/100 - MSE: 0.0143
Epoch 84/100 - MSE: 0.0140
Epoch 85/100 - MSE: 0.0135
Epoch 86/100 - MSE: 0.0133
Epoch 87/100 - MSE: 0.0131
Epoch 88/100 - MSE: 0.0129
Epoch 89/100 - MSE: 0.0129
Epoch 90/100 - MSE: 0.0126
Epoch 91/100 - MSE: 0.0122
Epoch 92/100 - MSE: 0.0122
Epoch 93/100 - MSE: 0.0120
Epoch 94/100 - MSE: 0.0118
Epoch 95/100 - MSE: 0.0116
Epoch 96/100 - MSE: 0.0113
Epoch 97/100 - MSE: 0.0112
Epoch 98/100 - MSE: 0.0111
Epoch 99/100 - MSE: 0.0108
Epoch 100/100 - MSE: 0.0108
  Saved outputs/alpha_study/dbn_depth_3.png
  4 RBM layers ... 
--- Training RBM layer 1/4 ---
Epoch 1/100 - MSE: 0.2320
Epoch 2/100 - MSE: 0.2299
Epoch 3/100 - MSE: 0.2288
Epoch 4/100 - MSE: 0.2282
Epoch 5/100 - MSE: 0.2277
Epoch 6/100 - MSE: 0.2264
Epoch 7/100 - MSE: 0.2252
Epoch 8/100 - MSE: 0.2240
Epoch 9/100 - MSE: 0.2220
Epoch 10/100 - MSE: 0.2197
Epoch 11/100 - MSE: 0.2169
Epoch 12/100 - MSE: 0.2136
Epoch 13/100 - MSE: 0.2093
Epoch 14/100 - MSE: 0.2047
Epoch 15/100 - MSE: 0.2006
Epoch 16/100 - MSE: 0.1966
Epoch 17/100 - MSE: 0.1929
Epoch 18/100 - MSE: 0.1893
Epoch 19/100 - MSE: 0.1862
Epoch 20/100 - MSE: 0.1823
Epoch 21/100 - MSE: 0.1792
Epoch 22/100 - MSE: 0.1761
Epoch 23/100 - MSE: 0.1736
Epoch 24/100 - MSE: 0.1709
Epoch 25/100 - MSE: 0.1686
Epoch 26/100 - MSE: 0.1668
Epoch 27/100 - MSE: 0.1652
Epoch 28/100 - MSE: 0.1629
Epoch 29/100 - MSE: 0.1606
Epoch 30/100 - MSE: 0.1583
Epoch 31/100 - MSE: 0.1561
Epoch 32/100 - MSE: 0.1541
Epoch 33/100 - MSE: 0.1517
Epoch 34/100 - MSE: 0.1494
Epoch 35/100 - MSE: 0.1471
Epoch 36/100 - MSE: 0.1448
Epoch 37/100 - MSE: 0.1430
Epoch 38/100 - MSE: 0.1409
Epoch 39/100 - MSE: 0.1388
Epoch 40/100 - MSE: 0.1368
Epoch 41/100 - MSE: 0.1352
Epoch 42/100 - MSE: 0.1333
Epoch 43/100 - MSE: 0.1315
Epoch 44/100 - MSE: 0.1299
Epoch 45/100 - MSE: 0.1283
Epoch 46/100 - MSE: 0.1265
Epoch 47/100 - MSE: 0.1248
Epoch 48/100 - MSE: 0.1231
Epoch 49/100 - MSE: 0.1216
Epoch 50/100 - MSE: 0.1197
Epoch 51/100 - MSE: 0.1182
Epoch 52/100 - MSE: 0.1167
Epoch 53/100 - MSE: 0.1154
Epoch 54/100 - MSE: 0.1138
Epoch 55/100 - MSE: 0.1122
Epoch 56/100 - MSE: 0.1109
Epoch 57/100 - MSE: 0.1095
Epoch 58/100 - MSE: 0.1083
Epoch 59/100 - MSE: 0.1069
Epoch 60/100 - MSE: 0.1055
Epoch 61/100 - MSE: 0.1043
Epoch 62/100 - MSE: 0.1030
Epoch 63/100 - MSE: 0.1017
Epoch 64/100 - MSE: 0.1007
Epoch 65/100 - MSE: 0.0995
Epoch 66/100 - MSE: 0.0982
Epoch 67/100 - MSE: 0.0971
Epoch 68/100 - MSE: 0.0960
Epoch 69/100 - MSE: 0.0950
Epoch 70/100 - MSE: 0.0939
Epoch 71/100 - MSE: 0.0927
Epoch 72/100 - MSE: 0.0916
Epoch 73/100 - MSE: 0.0907
Epoch 74/100 - MSE: 0.0896
Epoch 75/100 - MSE: 0.0886
Epoch 76/100 - MSE: 0.0876
Epoch 77/100 - MSE: 0.0868
Epoch 78/100 - MSE: 0.0859
Epoch 79/100 - MSE: 0.0849
Epoch 80/100 - MSE: 0.0841
Epoch 81/100 - MSE: 0.0829
Epoch 82/100 - MSE: 0.0820
Epoch 83/100 - MSE: 0.0812
Epoch 84/100 - MSE: 0.0801
Epoch 85/100 - MSE: 0.0794
Epoch 86/100 - MSE: 0.0785
Epoch 87/100 - MSE: 0.0776
Epoch 88/100 - MSE: 0.0765
Epoch 89/100 - MSE: 0.0758
Epoch 90/100 - MSE: 0.0748
Epoch 91/100 - MSE: 0.0742
Epoch 92/100 - MSE: 0.0734
Epoch 93/100 - MSE: 0.0726
Epoch 94/100 - MSE: 0.0717
Epoch 95/100 - MSE: 0.0708
Epoch 96/100 - MSE: 0.0700
Epoch 97/100 - MSE: 0.0693
Epoch 98/100 - MSE: 0.0687
Epoch 99/100 - MSE: 0.0680
Epoch 100/100 - MSE: 0.0671

--- Training RBM layer 2/4 ---
Epoch 1/100 - MSE: 0.1504
Epoch 2/100 - MSE: 0.1493
Epoch 3/100 - MSE: 0.1487
Epoch 4/100 - MSE: 0.1487
Epoch 5/100 - MSE: 0.1485
Epoch 6/100 - MSE: 0.1480
Epoch 7/100 - MSE: 0.1473
Epoch 8/100 - MSE: 0.1470
Epoch 9/100 - MSE: 0.1464
Epoch 10/100 - MSE: 0.1454
Epoch 11/100 - MSE: 0.1446
Epoch 12/100 - MSE: 0.1433
Epoch 13/100 - MSE: 0.1416
Epoch 14/100 - MSE: 0.1398
Epoch 15/100 - MSE: 0.1373
Epoch 16/100 - MSE: 0.1341
Epoch 17/100 - MSE: 0.1308
Epoch 18/100 - MSE: 0.1266
Epoch 19/100 - MSE: 0.1228
Epoch 20/100 - MSE: 0.1193
Epoch 21/100 - MSE: 0.1167
Epoch 22/100 - MSE: 0.1136
Epoch 23/100 - MSE: 0.1106
Epoch 24/100 - MSE: 0.1077
Epoch 25/100 - MSE: 0.1052
Epoch 26/100 - MSE: 0.1022
Epoch 27/100 - MSE: 0.0992
Epoch 28/100 - MSE: 0.0969
Epoch 29/100 - MSE: 0.0940
Epoch 30/100 - MSE: 0.0919
Epoch 31/100 - MSE: 0.0897
Epoch 32/100 - MSE: 0.0882
Epoch 33/100 - MSE: 0.0863
Epoch 34/100 - MSE: 0.0851
Epoch 35/100 - MSE: 0.0833
Epoch 36/100 - MSE: 0.0818
Epoch 37/100 - MSE: 0.0808
Epoch 38/100 - MSE: 0.0794
Epoch 39/100 - MSE: 0.0780
Epoch 40/100 - MSE: 0.0768
Epoch 41/100 - MSE: 0.0758
Epoch 42/100 - MSE: 0.0741
Epoch 43/100 - MSE: 0.0726
Epoch 44/100 - MSE: 0.0715
Epoch 45/100 - MSE: 0.0702
Epoch 46/100 - MSE: 0.0689
Epoch 47/100 - MSE: 0.0671
Epoch 48/100 - MSE: 0.0657
Epoch 49/100 - MSE: 0.0642
Epoch 50/100 - MSE: 0.0632
Epoch 51/100 - MSE: 0.0620
Epoch 52/100 - MSE: 0.0609
Epoch 53/100 - MSE: 0.0593
Epoch 54/100 - MSE: 0.0580
Epoch 55/100 - MSE: 0.0573
Epoch 56/100 - MSE: 0.0562
Epoch 57/100 - MSE: 0.0553
Epoch 58/100 - MSE: 0.0542
Epoch 59/100 - MSE: 0.0530
Epoch 60/100 - MSE: 0.0522
Epoch 61/100 - MSE: 0.0511
Epoch 62/100 - MSE: 0.0502
Epoch 63/100 - MSE: 0.0495
Epoch 64/100 - MSE: 0.0484
Epoch 65/100 - MSE: 0.0475
Epoch 66/100 - MSE: 0.0469
Epoch 67/100 - MSE: 0.0462
Epoch 68/100 - MSE: 0.0453
Epoch 69/100 - MSE: 0.0447
Epoch 70/100 - MSE: 0.0439
Epoch 71/100 - MSE: 0.0431
Epoch 72/100 - MSE: 0.0424
Epoch 73/100 - MSE: 0.0417
Epoch 74/100 - MSE: 0.0408
Epoch 75/100 - MSE: 0.0401
Epoch 76/100 - MSE: 0.0394
Epoch 77/100 - MSE: 0.0389
Epoch 78/100 - MSE: 0.0383
Epoch 79/100 - MSE: 0.0373
Epoch 80/100 - MSE: 0.0369
Epoch 81/100 - MSE: 0.0362
Epoch 82/100 - MSE: 0.0355
Epoch 83/100 - MSE: 0.0352
Epoch 84/100 - MSE: 0.0345
Epoch 85/100 - MSE: 0.0339
Epoch 86/100 - MSE: 0.0332
Epoch 87/100 - MSE: 0.0329
Epoch 88/100 - MSE: 0.0324
Epoch 89/100 - MSE: 0.0318
Epoch 90/100 - MSE: 0.0313
Epoch 91/100 - MSE: 0.0309
Epoch 92/100 - MSE: 0.0303
Epoch 93/100 - MSE: 0.0300
Epoch 94/100 - MSE: 0.0296
Epoch 95/100 - MSE: 0.0290
Epoch 96/100 - MSE: 0.0286
Epoch 97/100 - MSE: 0.0282
Epoch 98/100 - MSE: 0.0278
Epoch 99/100 - MSE: 0.0274
Epoch 100/100 - MSE: 0.0272

--- Training RBM layer 3/4 ---
Epoch 1/100 - MSE: 0.1132
Epoch 2/100 - MSE: 0.1137
Epoch 3/100 - MSE: 0.1131
Epoch 4/100 - MSE: 0.1124
Epoch 5/100 - MSE: 0.1122
Epoch 6/100 - MSE: 0.1123
Epoch 7/100 - MSE: 0.1117
Epoch 8/100 - MSE: 0.1112
Epoch 9/100 - MSE: 0.1103
Epoch 10/100 - MSE: 0.1092
Epoch 11/100 - MSE: 0.1079
Epoch 12/100 - MSE: 0.1060
Epoch 13/100 - MSE: 0.1036
Epoch 14/100 - MSE: 0.1004
Epoch 15/100 - MSE: 0.0961
Epoch 16/100 - MSE: 0.0921
Epoch 17/100 - MSE: 0.0873
Epoch 18/100 - MSE: 0.0830
Epoch 19/100 - MSE: 0.0785
Epoch 20/100 - MSE: 0.0744
Epoch 21/100 - MSE: 0.0712
Epoch 22/100 - MSE: 0.0681
Epoch 23/100 - MSE: 0.0651
Epoch 24/100 - MSE: 0.0629
Epoch 25/100 - MSE: 0.0600
Epoch 26/100 - MSE: 0.0576
Epoch 27/100 - MSE: 0.0558
Epoch 28/100 - MSE: 0.0534
Epoch 29/100 - MSE: 0.0513
Epoch 30/100 - MSE: 0.0502
Epoch 31/100 - MSE: 0.0486
Epoch 32/100 - MSE: 0.0472
Epoch 33/100 - MSE: 0.0463
Epoch 34/100 - MSE: 0.0450
Epoch 35/100 - MSE: 0.0437
Epoch 36/100 - MSE: 0.0427
Epoch 37/100 - MSE: 0.0415
Epoch 38/100 - MSE: 0.0405
Epoch 39/100 - MSE: 0.0395
Epoch 40/100 - MSE: 0.0382
Epoch 41/100 - MSE: 0.0373
Epoch 42/100 - MSE: 0.0360
Epoch 43/100 - MSE: 0.0350
Epoch 44/100 - MSE: 0.0339
Epoch 45/100 - MSE: 0.0326
Epoch 46/100 - MSE: 0.0314
Epoch 47/100 - MSE: 0.0305
Epoch 48/100 - MSE: 0.0297
Epoch 49/100 - MSE: 0.0286
Epoch 50/100 - MSE: 0.0276
Epoch 51/100 - MSE: 0.0266
Epoch 52/100 - MSE: 0.0260
Epoch 53/100 - MSE: 0.0254
Epoch 54/100 - MSE: 0.0248
Epoch 55/100 - MSE: 0.0238
Epoch 56/100 - MSE: 0.0235
Epoch 57/100 - MSE: 0.0227
Epoch 58/100 - MSE: 0.0222
Epoch 59/100 - MSE: 0.0219
Epoch 60/100 - MSE: 0.0213
Epoch 61/100 - MSE: 0.0209
Epoch 62/100 - MSE: 0.0205
Epoch 63/100 - MSE: 0.0201
Epoch 64/100 - MSE: 0.0197
Epoch 65/100 - MSE: 0.0192
Epoch 66/100 - MSE: 0.0190
Epoch 67/100 - MSE: 0.0185
Epoch 68/100 - MSE: 0.0180
Epoch 69/100 - MSE: 0.0177
Epoch 70/100 - MSE: 0.0174
Epoch 71/100 - MSE: 0.0171
Epoch 72/100 - MSE: 0.0168
Epoch 73/100 - MSE: 0.0164
Epoch 74/100 - MSE: 0.0160
Epoch 75/100 - MSE: 0.0156
Epoch 76/100 - MSE: 0.0153
Epoch 77/100 - MSE: 0.0151
Epoch 78/100 - MSE: 0.0147
Epoch 79/100 - MSE: 0.0144
Epoch 80/100 - MSE: 0.0143
Epoch 81/100 - MSE: 0.0142
Epoch 82/100 - MSE: 0.0136
Epoch 83/100 - MSE: 0.0134
Epoch 84/100 - MSE: 0.0134
Epoch 85/100 - MSE: 0.0131
Epoch 86/100 - MSE: 0.0126
Epoch 87/100 - MSE: 0.0124
Epoch 88/100 - MSE: 0.0122
Epoch 89/100 - MSE: 0.0119
Epoch 90/100 - MSE: 0.0117
Epoch 91/100 - MSE: 0.0114
Epoch 92/100 - MSE: 0.0112
Epoch 93/100 - MSE: 0.0111
Epoch 94/100 - MSE: 0.0110
Epoch 95/100 - MSE: 0.0108
Epoch 96/100 - MSE: 0.0106
Epoch 97/100 - MSE: 0.0103
Epoch 98/100 - MSE: 0.0101
Epoch 99/100 - MSE: 0.0100
Epoch 100/100 - MSE: 0.0098

--- Training RBM layer 4/4 ---
Epoch 1/100 - MSE: 0.0904
Epoch 2/100 - MSE: 0.0894
Epoch 3/100 - MSE: 0.0892
Epoch 4/100 - MSE: 0.0883
Epoch 5/100 - MSE: 0.0885
Epoch 6/100 - MSE: 0.0880
Epoch 7/100 - MSE: 0.0879
Epoch 8/100 - MSE: 0.0870
Epoch 9/100 - MSE: 0.0865
Epoch 10/100 - MSE: 0.0853
Epoch 11/100 - MSE: 0.0842
Epoch 12/100 - MSE: 0.0827
Epoch 13/100 - MSE: 0.0810
Epoch 14/100 - MSE: 0.0783
Epoch 15/100 - MSE: 0.0750
Epoch 16/100 - MSE: 0.0717
Epoch 17/100 - MSE: 0.0680
Epoch 18/100 - MSE: 0.0648
Epoch 19/100 - MSE: 0.0618
Epoch 20/100 - MSE: 0.0593
Epoch 21/100 - MSE: 0.0566
Epoch 22/100 - MSE: 0.0541
Epoch 23/100 - MSE: 0.0520
Epoch 24/100 - MSE: 0.0492
Epoch 25/100 - MSE: 0.0474
Epoch 26/100 - MSE: 0.0447
Epoch 27/100 - MSE: 0.0421
Epoch 28/100 - MSE: 0.0399
Epoch 29/100 - MSE: 0.0383
Epoch 30/100 - MSE: 0.0366
Epoch 31/100 - MSE: 0.0351
Epoch 32/100 - MSE: 0.0336
Epoch 33/100 - MSE: 0.0325
Epoch 34/100 - MSE: 0.0318
Epoch 35/100 - MSE: 0.0307
Epoch 36/100 - MSE: 0.0296
Epoch 37/100 - MSE: 0.0289
Epoch 38/100 - MSE: 0.0282
Epoch 39/100 - MSE: 0.0277
Epoch 40/100 - MSE: 0.0269
Epoch 41/100 - MSE: 0.0265
Epoch 42/100 - MSE: 0.0258
Epoch 43/100 - MSE: 0.0251
Epoch 44/100 - MSE: 0.0246
Epoch 45/100 - MSE: 0.0239
Epoch 46/100 - MSE: 0.0231
Epoch 47/100 - MSE: 0.0222
Epoch 48/100 - MSE: 0.0215
Epoch 49/100 - MSE: 0.0209
Epoch 50/100 - MSE: 0.0200
Epoch 51/100 - MSE: 0.0195
Epoch 52/100 - MSE: 0.0189
Epoch 53/100 - MSE: 0.0183
Epoch 54/100 - MSE: 0.0175
Epoch 55/100 - MSE: 0.0169
Epoch 56/100 - MSE: 0.0160
Epoch 57/100 - MSE: 0.0153
Epoch 58/100 - MSE: 0.0148
Epoch 59/100 - MSE: 0.0141
Epoch 60/100 - MSE: 0.0138
Epoch 61/100 - MSE: 0.0134
Epoch 62/100 - MSE: 0.0128
Epoch 63/100 - MSE: 0.0123
Epoch 64/100 - MSE: 0.0118
Epoch 65/100 - MSE: 0.0115
Epoch 66/100 - MSE: 0.0111
Epoch 67/100 - MSE: 0.0107
Epoch 68/100 - MSE: 0.0104
Epoch 69/100 - MSE: 0.0102
Epoch 70/100 - MSE: 0.0100
Epoch 71/100 - MSE: 0.0099
Epoch 72/100 - MSE: 0.0094
Epoch 73/100 - MSE: 0.0093
Epoch 74/100 - MSE: 0.0091
Epoch 75/100 - MSE: 0.0090
Epoch 76/100 - MSE: 0.0089
Epoch 77/100 - MSE: 0.0086
Epoch 78/100 - MSE: 0.0085
Epoch 79/100 - MSE: 0.0084
Epoch 80/100 - MSE: 0.0080
Epoch 81/100 - MSE: 0.0080
Epoch 82/100 - MSE: 0.0081
Epoch 83/100 - MSE: 0.0078
Epoch 84/100 - MSE: 0.0076
Epoch 85/100 - MSE: 0.0074
Epoch 86/100 - MSE: 0.0073
Epoch 87/100 - MSE: 0.0072
Epoch 88/100 - MSE: 0.0069
Epoch 89/100 - MSE: 0.0068
Epoch 90/100 - MSE: 0.0067
Epoch 91/100 - MSE: 0.0067
Epoch 92/100 - MSE: 0.0067
Epoch 93/100 - MSE: 0.0065
Epoch 94/100 - MSE: 0.0065
Epoch 95/100 - MSE: 0.0063
Epoch 96/100 - MSE: 0.0062
Epoch 97/100 - MSE: 0.0061
Epoch 98/100 - MSE: 0.0061
Epoch 99/100 - MSE: 0.0061
Epoch 100/100 - MSE: 0.0058
  Saved outputs/alpha_study/dbn_depth_4.png

All studies complete. Results in: outputs/alpha_study
Done: sam. 21 mars 2026 00:42:17 CET
