Job ID : 16760
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : ven. 20 mars 2026 23:57:02 CET
PyTorch version: 2.9.1+cu128
CUDA available : True
CUDA device    : NVIDIA L40S
Using device: cuda
Train: torch.Size([60000, 784]), Test: torch.Size([10000, 784])

=== Fig 1: layers ===

Architecture: [784, 200, 200, 10]

[Pretraining DNN1]

--- Training RBM layer 1/2 ---
Epoch 49/100 - MSE: 0.0168
Epoch 50/100 - MSE: 0.0169
Epoch 51/100 - MSE: 0.0168
Epoch 52/100 - MSE: 0.0166
Epoch 53/100 - MSE: 0.0166
Epoch 54/100 - MSE: 0.0166
Epoch 55/100 - MSE: 0.0164
Epoch 56/100 - MSE: 0.0164
Epoch 57/100 - MSE: 0.0163
Epoch 58/100 - MSE: 0.0163
Epoch 59/100 - MSE: 0.0163
Epoch 60/100 - MSE: 0.0162
Epoch 61/100 - MSE: 0.0162
Epoch 62/100 - MSE: 0.0161
Epoch 63/100 - MSE: 0.0161
Epoch 64/100 - MSE: 0.0160
Epoch 65/100 - MSE: 0.0160
Epoch 66/100 - MSE: 0.0160
Epoch 67/100 - MSE: 0.0159
Epoch 68/100 - MSE: 0.0159
Epoch 69/100 - MSE: 0.0158
Epoch 70/100 - MSE: 0.0158
Epoch 71/100 - MSE: 0.0159
Epoch 72/100 - MSE: 0.0157
Epoch 73/100 - MSE: 0.0158
Epoch 74/100 - MSE: 0.0157
Epoch 75/100 - MSE: 0.0157
Epoch 76/100 - MSE: 0.0157
Epoch 77/100 - MSE: 0.0156
Epoch 78/100 - MSE: 0.0156
Epoch 79/100 - MSE: 0.0156
Epoch 80/100 - MSE: 0.0155
Epoch 81/100 - MSE: 0.0156
Epoch 82/100 - MSE: 0.0155
Epoch 83/100 - MSE: 0.0155
Epoch 84/100 - MSE: 0.0155
Epoch 85/100 - MSE: 0.0155
Epoch 86/100 - MSE: 0.0155
Epoch 87/100 - MSE: 0.0154
Epoch 88/100 - MSE: 0.0153
Epoch 89/100 - MSE: 0.0153
Epoch 90/100 - MSE: 0.0153
Epoch 91/100 - MSE: 0.0153
Epoch 92/100 - MSE: 0.0153
Epoch 93/100 - MSE: 0.0153
Epoch 94/100 - MSE: 0.0153
Epoch 95/100 - MSE: 0.0152
Epoch 96/100 - MSE: 0.0152
Epoch 97/100 - MSE: 0.0152
Epoch 98/100 - MSE: 0.0152
Epoch 99/100 - MSE: 0.0151
Epoch 100/100 - MSE: 0.0152

[Training DNN1 (pretrained) with backprop]
Epoch 1/200 - Cross-entropy: 0.3614
Epoch 2/200 - Cross-entropy: 0.2923
Epoch 3/200 - Cross-entropy: 0.2587
Epoch 4/200 - Cross-entropy: 0.2377
Epoch 5/200 - Cross-entropy: 0.2225
Epoch 6/200 - Cross-entropy: 0.2095
Epoch 7/200 - Cross-entropy: 0.1994
Epoch 8/200 - Cross-entropy: 0.1908
Epoch 9/200 - Cross-entropy: 0.1838
Epoch 10/200 - Cross-entropy: 0.1767
Epoch 11/200 - Cross-entropy: 0.1707
Epoch 12/200 - Cross-entropy: 0.1657
Epoch 13/200 - Cross-entropy: 0.1610
Epoch 14/200 - Cross-entropy: 0.1558
Epoch 15/200 - Cross-entropy: 0.1525
Epoch 16/200 - Cross-entropy: 0.1479
Epoch 17/200 - Cross-entropy: 0.1440
Epoch 18/200 - Cross-entropy: 0.1406
Epoch 19/200 - Cross-entropy: 0.1376
Epoch 20/200 - Cross-entropy: 0.1349
Epoch 21/200 - Cross-entropy: 0.1322
Epoch 22/200 - Cross-entropy: 0.1288
Epoch 23/200 - Cross-entropy: 0.1263
Epoch 24/200 - Cross-entropy: 0.1239
Epoch 25/200 - Cross-entropy: 0.1213
Epoch 26/200 - Cross-entropy: 0.1193
Epoch 27/200 - Cross-entropy: 0.1175
Epoch 28/200 - Cross-entropy: 0.1152
Epoch 29/200 - Cross-entropy: 0.1132
Epoch 30/200 - Cross-entropy: 0.1112
Epoch 31/200 - Cross-entropy: 0.1094
Epoch 32/200 - Cross-entropy: 0.1078
Epoch 33/200 - Cross-entropy: 0.1058
Epoch 34/200 - Cross-entropy: 0.1047
Epoch 35/200 - Cross-entropy: 0.1031
Epoch 36/200 - Cross-entropy: 0.1011
Epoch 37/200 - Cross-entropy: 0.0998
Epoch 38/200 - Cross-entropy: 0.0983
Epoch 39/200 - Cross-entropy: 0.0969
Epoch 40/200 - Cross-entropy: 0.0954
Epoch 41/200 - Cross-entropy: 0.0939
Epoch 42/200 - Cross-entropy: 0.0928
Epoch 43/200 - Cross-entropy: 0.0915
Epoch 44/200 - Cross-entropy: 0.0904
Epoch 45/200 - Cross-entropy: 0.0890
Epoch 46/200 - Cross-entropy: 0.0881
Epoch 47/200 - Cross-entropy: 0.0868
Epoch 48/200 - Cross-entropy: 0.0857
Epoch 49/200 - Cross-entropy: 0.0845
Epoch 50/200 - Cross-entropy: 0.0837
Epoch 51/200 - Cross-entropy: 0.0824
Epoch 52/200 - Cross-entropy: 0.0816
Epoch 53/200 - Cross-entropy: 0.0805
Epoch 54/200 - Cross-entropy: 0.0795
Epoch 55/200 - Cross-entropy: 0.0785
Epoch 56/200 - Cross-entropy: 0.0778
Epoch 57/200 - Cross-entropy: 0.0767
Epoch 58/200 - Cross-entropy: 0.0760
Epoch 59/200 - Cross-entropy: 0.0749
Epoch 60/200 - Cross-entropy: 0.0740
Epoch 61/200 - Cross-entropy: 0.0733
Epoch 62/200 - Cross-entropy: 0.0725
Epoch 63/200 - Cross-entropy: 0.0715
Epoch 64/200 - Cross-entropy: 0.0707
Epoch 65/200 - Cross-entropy: 0.0699
Epoch 66/200 - Cross-entropy: 0.0692
Epoch 67/200 - Cross-entropy: 0.0685
Epoch 68/200 - Cross-entropy: 0.0678
Epoch 69/200 - Cross-entropy: 0.0669
Epoch 70/200 - Cross-entropy: 0.0662
Epoch 71/200 - Cross-entropy: 0.0655
Epoch 72/200 - Cross-entropy: 0.0650
Epoch 73/200 - Cross-entropy: 0.0640
Epoch 74/200 - Cross-entropy: 0.0634
Epoch 75/200 - Cross-entropy: 0.0628
Epoch 76/200 - Cross-entropy: 0.0622
Epoch 77/200 - Cross-entropy: 0.0614
Epoch 78/200 - Cross-entropy: 0.0608
Epoch 79/200 - Cross-entropy: 0.0602
Epoch 80/200 - Cross-entropy: 0.0596
Epoch 81/200 - Cross-entropy: 0.0590
Epoch 82/200 - Cross-entropy: 0.0585
Epoch 83/200 - Cross-entropy: 0.0578
Epoch 84/200 - Cross-entropy: 0.0574
Epoch 85/200 - Cross-entropy: 0.0567
Epoch 86/200 - Cross-entropy: 0.0562
Epoch 87/200 - Cross-entropy: 0.0555
Epoch 88/200 - Cross-entropy: 0.0551
Epoch 89/200 - Cross-entropy: 0.0544
Epoch 90/200 - Cross-entropy: 0.0541
Epoch 91/200 - Cross-entropy: 0.0534
Epoch 92/200 - Cross-entropy: 0.0530
Epoch 93/200 - Cross-entropy: 0.0526
Epoch 94/200 - Cross-entropy: 0.0520
Epoch 95/200 - Cross-entropy: 0.0514
Epoch 96/200 - Cross-entropy: 0.0509
Epoch 97/200 - Cross-entropy: 0.0504
Epoch 98/200 - Cross-entropy: 0.0499
Epoch 99/200 - Cross-entropy: 0.0495
Epoch 100/200 - Cross-entropy: 0.0490
Epoch 101/200 - Cross-entropy: 0.0485
Epoch 102/200 - Cross-entropy: 0.0481
Epoch 103/200 - Cross-entropy: 0.0476
Epoch 104/200 - Cross-entropy: 0.0474
