Job ID : 16758
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : ven. 20 mars 2026 23:49:08 CET
Data shape: torch.Size([108, 320])

--- Training RBM layer 1/2 ---
Epoch 55/100 - MSE: 0.0731
Epoch 56/100 - MSE: 0.0720
Epoch 57/100 - MSE: 0.0710
Epoch 58/100 - MSE: 0.0702
Epoch 59/100 - MSE: 0.0692
Epoch 60/100 - MSE: 0.0683
Epoch 61/100 - MSE: 0.0673
Epoch 62/100 - MSE: 0.0664
Epoch 63/100 - MSE: 0.0656
Epoch 64/100 - MSE: 0.0646
Epoch 65/100 - MSE: 0.0638
Epoch 66/100 - MSE: 0.0630
Epoch 67/100 - MSE: 0.0622
Epoch 68/100 - MSE: 0.0613
Epoch 69/100 - MSE: 0.0607
Epoch 70/100 - MSE: 0.0598
Epoch 71/100 - MSE: 0.0590
Epoch 72/100 - MSE: 0.0584
Epoch 73/100 - MSE: 0.0577
Epoch 74/100 - MSE: 0.0570
Epoch 75/100 - MSE: 0.0564
Epoch 76/100 - MSE: 0.0558
Epoch 77/100 - MSE: 0.0552
Epoch 78/100 - MSE: 0.0544
Epoch 79/100 - MSE: 0.0536
Epoch 80/100 - MSE: 0.0530
Epoch 81/100 - MSE: 0.0524
Epoch 82/100 - MSE: 0.0520
Epoch 83/100 - MSE: 0.0512
Epoch 84/100 - MSE: 0.0506
Epoch 85/100 - MSE: 0.0501
Epoch 86/100 - MSE: 0.0496
Epoch 87/100 - MSE: 0.0490
Epoch 88/100 - MSE: 0.0485
Epoch 89/100 - MSE: 0.0480
Epoch 90/100 - MSE: 0.0474
Epoch 91/100 - MSE: 0.0468
Epoch 92/100 - MSE: 0.0462
Epoch 93/100 - MSE: 0.0457
Epoch 94/100 - MSE: 0.0451
Epoch 95/100 - MSE: 0.0446
Epoch 96/100 - MSE: 0.0440
Epoch 97/100 - MSE: 0.0434
Epoch 98/100 - MSE: 0.0430
Epoch 99/100 - MSE: 0.0425
Epoch 100/100 - MSE: 0.0420
Saved outputs/dbn_generated.png
Done: ven. 20 mars 2026 23:49:10 CET
