Job ID : 16766
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : sam. 21 mars 2026 00:42:23 CET
Device: cuda
Loading MNIST...
  RBM/DBN training set: torch.Size([10000, 784])
  VAE training set:     torch.Size([60000, 784])

=== Training RBM ===
Epoch 52/100 - MSE: 0.0148
Epoch 53/100 - MSE: 0.0148
Epoch 54/100 - MSE: 0.0146
Epoch 55/100 - MSE: 0.0145
Epoch 56/100 - MSE: 0.0144
Epoch 57/100 - MSE: 0.0143
Epoch 58/100 - MSE: 0.0143
Epoch 59/100 - MSE: 0.0141
Epoch 60/100 - MSE: 0.0140
Epoch 61/100 - MSE: 0.0140
Epoch 62/100 - MSE: 0.0139
Epoch 63/100 - MSE: 0.0137
Epoch 64/100 - MSE: 0.0136
Epoch 65/100 - MSE: 0.0135
Epoch 66/100 - MSE: 0.0135
Epoch 67/100 - MSE: 0.0134
Epoch 68/100 - MSE: 0.0134
Epoch 69/100 - MSE: 0.0132
Epoch 70/100 - MSE: 0.0132
Epoch 71/100 - MSE: 0.0131
Epoch 72/100 - MSE: 0.0131
Epoch 73/100 - MSE: 0.0131
Epoch 74/100 - MSE: 0.0129
Epoch 75/100 - MSE: 0.0128
Epoch 76/100 - MSE: 0.0128
Epoch 77/100 - MSE: 0.0127
Epoch 78/100 - MSE: 0.0127
Epoch 79/100 - MSE: 0.0126
Epoch 80/100 - MSE: 0.0126
Epoch 81/100 - MSE: 0.0124
Epoch 82/100 - MSE: 0.0125
Epoch 83/100 - MSE: 0.0124
Epoch 84/100 - MSE: 0.0124
Epoch 85/100 - MSE: 0.0123
Epoch 86/100 - MSE: 0.0122
Epoch 87/100 - MSE: 0.0121
Epoch 88/100 - MSE: 0.0121
Epoch 89/100 - MSE: 0.0121
Epoch 90/100 - MSE: 0.0119
Epoch 91/100 - MSE: 0.0119
Epoch 92/100 - MSE: 0.0119
Epoch 93/100 - MSE: 0.0118
Epoch 94/100 - MSE: 0.0118
Epoch 95/100 - MSE: 0.0118
Epoch 96/100 - MSE: 0.0117
Epoch 97/100 - MSE: 0.0116
Epoch 98/100 - MSE: 0.0116
Epoch 99/100 - MSE: 0.0116
Epoch 100/100 - MSE: 0.0116

--- Training RBM layer 2/2 ---
Epoch 1/100 - MSE: 0.1332
Epoch 2/100 - MSE: 0.1049
Epoch 3/100 - MSE: 0.0900
Epoch 4/100 - MSE: 0.0798
Epoch 5/100 - MSE: 0.0731
Epoch 6/100 - MSE: 0.0673
Epoch 7/100 - MSE: 0.0625
Epoch 8/100 - MSE: 0.0594
Epoch 9/100 - MSE: 0.0561
Epoch 10/100 - MSE: 0.0540
Epoch 11/100 - MSE: 0.0512
Epoch 12/100 - MSE: 0.0489
Epoch 13/100 - MSE: 0.0473
Epoch 14/100 - MSE: 0.0457
Epoch 15/100 - MSE: 0.0442
Epoch 16/100 - MSE: 0.0428
Epoch 17/100 - MSE: 0.0418
Epoch 18/100 - MSE: 0.0408
Epoch 19/100 - MSE: 0.0399
Epoch 20/100 - MSE: 0.0390
Epoch 21/100 - MSE: 0.0383
Epoch 22/100 - MSE: 0.0377
Epoch 23/100 - MSE: 0.0366
Epoch 24/100 - MSE: 0.0361
Epoch 25/100 - MSE: 0.0357
Epoch 26/100 - MSE: 0.0350
Epoch 27/100 - MSE: 0.0346
Epoch 28/100 - MSE: 0.0342
Epoch 29/100 - MSE: 0.0337
Epoch 30/100 - MSE: 0.0332
Epoch 31/100 - MSE: 0.0329
Epoch 32/100 - MSE: 0.0325
Epoch 33/100 - MSE: 0.0321
Epoch 34/100 - MSE: 0.0320
Epoch 35/100 - MSE: 0.0316
Epoch 36/100 - MSE: 0.0313
Epoch 37/100 - MSE: 0.0309
Epoch 38/100 - MSE: 0.0307
Epoch 39/100 - MSE: 0.0305
Epoch 40/100 - MSE: 0.0300
Epoch 41/100 - MSE: 0.0299
Epoch 42/100 - MSE: 0.0297
Epoch 43/100 - MSE: 0.0293
Epoch 44/100 - MSE: 0.0294
Epoch 45/100 - MSE: 0.0289
Epoch 46/100 - MSE: 0.0287
Epoch 47/100 - MSE: 0.0285
Epoch 48/100 - MSE: 0.0282
Epoch 49/100 - MSE: 0.0284
