Job ID : 16768
Node   : ensta-l40s02
GPU    : NVIDIA L40S
Date   : sam. 21 mars 2026 01:26:16 CET
PyTorch version: 2.9.1+cu128
CUDA available : True
CUDA device    : NVIDIA L40S
Using device: cuda
Train: torch.Size([60000, 784]), Test: torch.Size([10000, 784])

=== Fig 1: layers ===

Architecture: [784, 200, 200, 10]

[Pretraining DNN1]

--- Training RBM layer 1/2 ---
Epoch 49/100 - MSE: 0.0164
Epoch 50/100 - MSE: 0.0163
Epoch 51/100 - MSE: 0.0162
Epoch 52/100 - MSE: 0.0163
Epoch 53/100 - MSE: 0.0163
Epoch 54/100 - MSE: 0.0162
Epoch 55/100 - MSE: 0.0161
Epoch 56/100 - MSE: 0.0160
Epoch 57/100 - MSE: 0.0159
Epoch 58/100 - MSE: 0.0159
Epoch 59/100 - MSE: 0.0158
Epoch 60/100 - MSE: 0.0158
Epoch 61/100 - MSE: 0.0158
Epoch 62/100 - MSE: 0.0158
Epoch 63/100 - MSE: 0.0158
Epoch 64/100 - MSE: 0.0157
Epoch 65/100 - MSE: 0.0157
Epoch 66/100 - MSE: 0.0156
Epoch 67/100 - MSE: 0.0156
Epoch 68/100 - MSE: 0.0156
Epoch 69/100 - MSE: 0.0155
Epoch 70/100 - MSE: 0.0155
Epoch 71/100 - MSE: 0.0155
Epoch 72/100 - MSE: 0.0155
Epoch 73/100 - MSE: 0.0154
Epoch 74/100 - MSE: 0.0153
Epoch 75/100 - MSE: 0.0153
Epoch 76/100 - MSE: 0.0153
Epoch 77/100 - MSE: 0.0154
Epoch 78/100 - MSE: 0.0154
Epoch 79/100 - MSE: 0.0152
Epoch 80/100 - MSE: 0.0152
Epoch 81/100 - MSE: 0.0152
Epoch 82/100 - MSE: 0.0152
Epoch 83/100 - MSE: 0.0152
Epoch 84/100 - MSE: 0.0151
Epoch 85/100 - MSE: 0.0151
Epoch 86/100 - MSE: 0.0152
Epoch 87/100 - MSE: 0.0151
Epoch 88/100 - MSE: 0.0151
Epoch 89/100 - MSE: 0.0150
Epoch 90/100 - MSE: 0.0150
Epoch 91/100 - MSE: 0.0150
Epoch 92/100 - MSE: 0.0150
Epoch 93/100 - MSE: 0.0150
Epoch 94/100 - MSE: 0.0149
Epoch 95/100 - MSE: 0.0150
Epoch 96/100 - MSE: 0.0149
Epoch 97/100 - MSE: 0.0149
Epoch 98/100 - MSE: 0.0149
Epoch 99/100 - MSE: 0.0149
Epoch 100/100 - MSE: 0.0149

[Training DNN1 (pretrained) with backprop]
Epoch 1/200 - Cross-entropy: 0.3599
Epoch 2/200 - Cross-entropy: 0.2897
Epoch 3/200 - Cross-entropy: 0.2576
Epoch 4/200 - Cross-entropy: 0.2364
Epoch 5/200 - Cross-entropy: 0.2213
Epoch 6/200 - Cross-entropy: 0.2093
Epoch 7/200 - Cross-entropy: 0.1989
Epoch 8/200 - Cross-entropy: 0.1914
Epoch 9/200 - Cross-entropy: 0.1833
Epoch 10/200 - Cross-entropy: 0.1764
Epoch 11/200 - Cross-entropy: 0.1704
Epoch 12/200 - Cross-entropy: 0.1649
Epoch 13/200 - Cross-entropy: 0.1605
Epoch 14/200 - Cross-entropy: 0.1558
Epoch 15/200 - Cross-entropy: 0.1520
Epoch 16/200 - Cross-entropy: 0.1479
Epoch 17/200 - Cross-entropy: 0.1439
Epoch 18/200 - Cross-entropy: 0.1406
Epoch 19/200 - Cross-entropy: 0.1374
Epoch 20/200 - Cross-entropy: 0.1347
Epoch 21/200 - Cross-entropy: 0.1314
Epoch 22/200 - Cross-entropy: 0.1290
Epoch 23/200 - Cross-entropy: 0.1261
Epoch 24/200 - Cross-entropy: 0.1237
Epoch 25/200 - Cross-entropy: 0.1220
Epoch 26/200 - Cross-entropy: 0.1192
Epoch 27/200 - Cross-entropy: 0.1172
Epoch 28/200 - Cross-entropy: 0.1150
Epoch 29/200 - Cross-entropy: 0.1133
Epoch 30/200 - Cross-entropy: 0.1111
Epoch 31/200 - Cross-entropy: 0.1095
Epoch 32/200 - Cross-entropy: 0.1077
Epoch 33/200 - Cross-entropy: 0.1059
Epoch 34/200 - Cross-entropy: 0.1043
Epoch 35/200 - Cross-entropy: 0.1026
Epoch 36/200 - Cross-entropy: 0.1011
Epoch 37/200 - Cross-entropy: 0.0995
Epoch 38/200 - Cross-entropy: 0.0983
Epoch 39/200 - Cross-entropy: 0.0970
Epoch 40/200 - Cross-entropy: 0.0954
Epoch 41/200 - Cross-entropy: 0.0943
Epoch 42/200 - Cross-entropy: 0.0928
Epoch 43/200 - Cross-entropy: 0.0918
Epoch 44/200 - Cross-entropy: 0.0902
Epoch 45/200 - Cross-entropy: 0.0890
Epoch 46/200 - Cross-entropy: 0.0884
Epoch 47/200 - Cross-entropy: 0.0867
Epoch 48/200 - Cross-entropy: 0.0856
Epoch 49/200 - Cross-entropy: 0.0849
Epoch 50/200 - Cross-entropy: 0.0835
Epoch 51/200 - Cross-entropy: 0.0823
Epoch 52/200 - Cross-entropy: 0.0814
Epoch 53/200 - Cross-entropy: 0.0806
Epoch 54/200 - Cross-entropy: 0.0794
Epoch 55/200 - Cross-entropy: 0.0785
Epoch 56/200 - Cross-entropy: 0.0777
Epoch 57/200 - Cross-entropy: 0.0769
Epoch 58/200 - Cross-entropy: 0.0758
Epoch 59/200 - Cross-entropy: 0.0750
Epoch 60/200 - Cross-entropy: 0.0741
Epoch 61/200 - Cross-entropy: 0.0732
Epoch 62/200 - Cross-entropy: 0.0723
Epoch 63/200 - Cross-entropy: 0.0717
Epoch 64/200 - Cross-entropy: 0.0709
Epoch 65/200 - Cross-entropy: 0.0703
Epoch 66/200 - Cross-entropy: 0.0694
Epoch 67/200 - Cross-entropy: 0.0686
Epoch 68/200 - Cross-entropy: 0.0679
Epoch 69/200 - Cross-entropy: 0.0676
Epoch 70/200 - Cross-entropy: 0.0665
Epoch 71/200 - Cross-entropy: 0.0657
Epoch 72/200 - Cross-entropy: 0.0650
Epoch 73/200 - Cross-entropy: 0.0645
Epoch 74/200 - Cross-entropy: 0.0637
Epoch 75/200 - Cross-entropy: 0.0631
Epoch 76/200 - Cross-entropy: 0.0623
Epoch 77/200 - Cross-entropy: 0.0619
Epoch 78/200 - Cross-entropy: 0.0610
Epoch 79/200 - Cross-entropy: 0.0606
Epoch 80/200 - Cross-entropy: 0.0598
Epoch 81/200 - Cross-entropy: 0.0592
Epoch 82/200 - Cross-entropy: 0.0586
Epoch 83/200 - Cross-entropy: 0.0582
